,count,mean,std,min,25%,50%,75%,max
P1139,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1137,100.0,0.45,0.5,0.0,0.0,0.0,1.0,1.0
P1138,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1141,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1142,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
P1143,100.0,0.34,0.47609522856952335,0.0,0.0,0.0,1.0,1.0
P1144,100.0,0.36,0.4824181513244218,0.0,0.0,0.0,1.0,1.0
P1145,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1171$01,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
P1171$02,100.0,0.84375,0.27199633743077783,0.375,0.84375,1.0,1.0,1.0
P1171$04,100.0,0.62,0.4878317312145634,0.0,0.0,1.0,1.0,1.0
P1171$05,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1171$06,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1171$07,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1171$08,100.0,0.74,0.44084400227680803,0.0,0.0,1.0,1.0,1.0
P1171$09,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1171$10,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1171$11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1171$12,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
P1171$13,100.0,0.34,0.47609522856952335,0.0,0.0,0.0,1.0,1.0
P1171$14,100.0,0.36,0.4824181513244218,0.0,0.0,0.0,1.0,1.0
P1171$15,100.0,0.52,0.5021167315686782,0.0,0.0,1.0,1.0,1.0
P1171$16,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1175$01,100.0,1.0,1.2060453783110545,0.0,0.0,0.0,2.0,3.0
P1175$02,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1175$04,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1175$05,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1175$06,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1175$07,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1175$08,100.0,0.7,0.9587449708822045,0.0,0.0,0.0,2.0,2.0
P1175$09,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
