,count,mean,std,min,25%,50%,75%,max
P1175$07,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1175$08,100.0,0.7,0.9587449708822045,0.0,0.0,0.0,2.0,2.0
P1175$09,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1175$10,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1175$11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1175$12,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1175$13,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1175$14,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1175$15,100.0,0.98,1.0048367875913828,0.0,0.0,0.0,2.0,2.0
P1175$16,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P117T2,100.0,117.99,135.96757597740617,0.0,19.75,79.5,171.0,649.0
P117T3,100.0,9.58,29.677110861586733,0.0,0.0,0.0,0.0,217.0
P117T4,100.0,13.27,22.78261564784816,0.0,0.0,0.0,30.25,86.0
T110,100.0,2.05,2.4551533104427055,1.0,1.0,1.0,1.0,9.0
P200I,100.0,1.43,0.6072790781740128,1.0,1.0,1.0,2.0,4.0
P600I,100.0,1.62,0.6321360293449184,1.0,1.0,2.0,2.0,4.0
P600D1,100.0,13.49,10.840901785144608,1.0,3.0,10.5,23.25,31.0
P600M1,100.0,6.13,3.401292089601815,1.0,3.0,7.0,8.0,12.0
P600A1,100.0,2021.92,0.2726599243442907,2021.0,2022.0,2022.0,2022.0,2022.0
P600D2,100.0,13.55,6.7230569646177285,1.0,8.0,15.0,17.25,31.0
P600M2,100.0,5.63,3.307948798353029,1.0,2.0,5.0,8.0,12.0
P600A2,100.0,2022.0,0.0,2022.0,2022.0,2022.0,2022.0,2022.0
P612I1,100.0,1.96,0.19694638556693236,1.0,2.0,2.0,2.0,2.0
P612I2,100.0,1.98,0.14070529413628965,1.0,2.0,2.0,2.0,2.0
P700I,100.0,1.35,0.4793724854411022,1.0,1.0,1.0,2.0,2.0
P710I,100.0,1.35,0.4793724854411022,1.0,1.0,1.0,2.0,2.0
P800I,100.0,1.37,0.5056249258655725,1.0,1.0,1.0,2.0,3.0
P110I,100.0,1.43,0.6072790781740128,1.0,1.0,1.0,2.0,4.0
TICUEST01,100.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
T111A,100.0,3.98,3.1939968944280706,1.0,1.0,4.0,6.0,10.0
NBI1,100.0,0.15,0.3588702812826367,0.0,0.0,0.0,0.0,1.0
NBI2,100.0,0.08,0.2726599243442907,0.0,0.0,0.0,0.0,1.0
NBI3,100.0,0.16,0.3684529491774707,0.0,0.0,0.0,0.0,1.0
NBI4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBI5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FACTOR07,100.0,107.37417022705081,67.16090442210516,45.2823715209961,55.1079559326172,66.6793823242188,161.014282226563,304.264739990234
NCONGLOME,100.0,6695.63,192.860218130577,6480.0,6570.0,6637.0,6753.0,7201.0
SUB_CONGLOME,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CODCCPP,100.0,18.92,19.841126556481186,1.0,1.0,11.0,36.5,54.0
LONGITUD,100.0,-78.2578328704834,0.31123482560841137,-78.5312118530273,-78.46723365783696,-78.434440612793,-77.9167785644531,-77.4822845458984
LATITUD,100.0,-5.561073722839353,0.5747979502963538,-6.39351749420166,-5.85542249679565,-5.63599729537964,-5.44626665115356,-4.20400476455688
ALTITUD,100.0,983.51,632.2110070812968,177.0,438.0,929.0,1599.0,2338.0
